MSSubClass,LotFrontage,LotArea,Street,Utilities,YearBuilt,YearRemodAdd,MasVnrArea,BsmtExposure,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,Functional,GarageYrBlt,GarageFinish,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,SalePrice,LotConfig_labels,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Alley_None,Alley_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_None,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,Overall_Rating,Exter_Rating,Bsmt_rating,Basement_bathrooms,Aboveground_bathrooms,Kitchen_Rating,Fireplace_Rating,Total_Condtion,BsmtFinType1_rating,BsmtFinType2_rating,Bsmt_total_SF_rating
60,0.1506849315068493,0.0334198041552735,1.0,1.0,0.9492753623188416,0.8833333333333329,0.1225,0.25,0.0642123287671232,0.1400981996726677,0.0,1.0,1.0,1.0,0.11977971546581,0.4135593220338983,0.0,0.2592313489073097,0.375,1.0,0.9492753623188416,0.6666666666666666,0.386459802538787,0.6000000000000001,1.0,0.0,0.1115173674588665,0.0,0.0,0.0,0.0,0.0,2008,208500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1666666666666665,1.1666666666666667,1.55,0.3333333333333333,0.9166666666666666,0.22222222222222224,0.0,2.0,0.1250885896527285,0.0,0.1250885896527285
20,0.2020547945205479,0.0387950174110168,1.0,1.0,0.7536231884057969,0.43333333333333,0.0,1.0,0.1215753424657534,0.2065466448445172,0.0,1.0,1.0,1.0,0.2129417163836622,0.0,0.0,0.1748304446119065,0.375,1.0,0.7536231884057969,0.6666666666666666,0.3244005641748942,0.6000000000000001,1.0,0.3477246207701283,0.0,0.0,0.0,0.0,0.0,0.0,2007,181500,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4305555555555556,0.8333333333333333,1.55,0.25,0.6666666666666666,0.1111111111111111,0.2,2.0,0.1444011339475549,0.0,0.1444011339475549
60,0.160958904109589,0.0465072799083876,1.0,1.0,0.9347826086956524,0.8666666666666671,0.10125,0.5,0.1857876712328767,0.1505728314238952,0.0,1.0,1.0,1.0,0.1344653510784763,0.4193704600484261,0.0,0.2735493594574227,0.375,1.0,0.9347826086956524,0.6666666666666666,0.4287729196050776,0.6000000000000001,1.0,0.0,0.0767824497257769,0.0,0.0,0.0,0.0,0.0,2008,223500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1666666666666665,1.1666666666666667,1.55,0.3333333333333333,0.9166666666666666,0.22222222222222224,0.2,2.0,0.0861091424521615,0.0,0.0861091424521615
70,0.1335616438356164,0.0385613124868541,1.0,1.0,0.3115942028985508,0.3333333333333357,0.0,0.25,0.2311643835616438,0.1237315875613748,0.0,0.75,1.0,1.0,0.1438733363928407,0.3661016949152542,0.0,0.2605501130369254,0.375,1.0,0.9130434782608692,0.3333333333333333,0.4527503526093089,0.6000000000000001,1.0,0.0,0.0639853747714808,0.4927536231884058,0.0,0.0,0.0,0.0,2006,140000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666665,0.8333333333333333,1.6,0.3333333333333333,0.3333333333333333,0.22222222222222224,0.26666666666666666,2.0,0.031892274982282,0.0,0.031892274982282
60,0.2157534246575342,0.0605763163429853,1.0,1.0,0.9275362318840584,0.8333333333333357,0.21875,0.75,0.2097602739726027,0.1873977086743044,0.0,1.0,1.0,1.0,0.1860945387792565,0.5099273607748184,0.0,0.3511680482290881,0.5,1.0,0.9275362318840584,0.6666666666666666,0.5895627644569816,0.6000000000000001,1.0,0.2240373395565927,0.1535648994515539,0.0,0.0,0.0,0.0,0.0,2008,250000,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2777777777777777,1.1666666666666667,1.55,0.3333333333333333,0.9166666666666666,0.22222222222222224,0.2,2.0,0.1160524450744153,0.0,0.1160524450744153
50,0.2191780821917808,0.0598985720629133,1.0,1.0,0.8768115942028984,0.75,0.0,0.25,0.0273972602739726,0.1302782324058919,0.0,1.0,1.0,1.0,0.1060119320789352,0.27409200968523,0.0,0.1936699321778447,0.125,1.0,0.8768115942028984,0.3333333333333333,0.3385049365303244,0.6000000000000001,1.0,0.0466744457409568,0.0548446069469835,0.0,0.6299212598425197,0.0,0.0,0.0451612903225806,2009,143000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9444444444444444,0.8333333333333333,1.55,0.3333333333333333,0.5833333333333333,0.1111111111111111,0.0,2.0,0.1296952515946137,0.0,0.1296952515946137
20,0.184931506849315,0.0410572810769122,1.0,1.0,0.9565217391304356,0.9166666666666644,0.11625,0.75,0.1357020547945205,0.2759410801963993,0.0,1.0,1.0,1.0,0.3120697567691601,0.0,0.0,0.2562170308967596,0.375,1.0,0.9565217391304356,0.6666666666666666,0.4485190409026798,0.6000000000000001,1.0,0.2975495915985997,0.1042047531992687,0.0,0.0,0.0,0.0,0.0,2007,307000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2777777777777777,1.1666666666666667,1.75,0.3333333333333333,0.6666666666666666,0.22222222222222224,0.26666666666666666,2.0,0.2425584691708008,0.0,0.2425584691708008
60,0.2013698630136985,0.0424501624249222,1.0,1.0,0.7318840579710155,0.3833333333333328,0.15,0.5,0.0924657534246575,0.1811783960720131,0.0,1.0,1.0,1.0,0.1773749426342359,0.4760290556900726,0.0,0.3308214016578749,0.375,1.0,0.7318840579710155,0.6666666666666666,0.3413258110014104,0.6000000000000001,1.0,0.2742123687281213,0.3729433272394881,0.4130434782608695,0.0,0.0,0.0,0.0225806451612903,2009,200000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2916666666666665,0.8333333333333333,1.55,0.3333333333333333,0.9166666666666666,0.1111111111111111,0.4,2.0,0.1268308528230569,0.01085481682496605,0.13768566964802295
50,0.1027397260273972,0.0225291546892893,1.0,1.0,0.4275362318840585,0.0,0.0,0.25,0.4075342465753424,0.155810147299509,0.0,0.75,1.0,0.5,0.1578705828361633,0.3641646489104116,0.0,0.2712886209495102,0.25,0.8333333333333334,0.4275362318840585,0.3333333333333333,0.3300423131170663,0.6000000000000001,1.0,0.1050175029171528,0.0,0.3713768115942029,0.0,0.0,0.0,0.0,2008,129900,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666665,0.8333333333333333,1.35,0.0,0.6666666666666666,0.2222222222222222,0.4,0.0,0.0,0.0,0.0
190,0.0993150684931506,0.0286054827175208,1.0,1.0,0.4855072463768124,0.0,0.0,0.25,0.059931506849315,0.1621931260229132,0.0,1.0,1.0,1.0,0.1704910509407985,0.0,0.0,0.1399773926149208,0.25,1.0,0.4855072463768124,0.6666666666666666,0.1445698166431593,0.6000000000000001,1.0,0.0,0.0073126142595978,0.0,0.0,0.0,0.0,0.0,2008,118000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0694444444444444,0.8333333333333333,1.35,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.4,0.0,0.1507795889440113,0.0,0.1507795889440113
